XP_001177162.2	mitochondrial import inner membrane translocase subunit TIM44 isoform X2
XP_001177216.1	elongin-B
XP_001177221.2	LOW QUALITY PROTEIN: nanos homolog 3
XP_001177224.1	28S ribosomal protein S17, mitochondrial
XP_001177225.1	uncharacterized protein LOC752806 isoform X2
XP_001177227.1	ubiquitin-like protein 3
XP_001177297.1	phospholipase A2
XP_001177300.1	uncharacterized protein LOC752203
XP_001177344.2	uncharacterized protein LOC753887
XP_001177437.2	sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase
XP_001177482.2	uncharacterized protein LOC754197
XP_001177488.1	uncharacterized protein LOC753194
XP_001177494.1	beta-1,3-galactosyltransferase 6
XP_001177568.1	carbohydrate sulfotransferase 11
XP_001177614.1	centromere protein K
XP_001177619.1	calmodulin isoform X1
XP_001177624.1	histone H4
XP_001177626.2	LIM and SH3 domain protein Lasp isoform X7
XP_001177627.1	synaptogyrin-3
XP_001177706.3	homeobox protein HMX1
XP_001177745.2	development-specific protein LVN1.2 isoform X2
XP_001177748.1	paired box protein Pax-3-B
XP_001177754.2	dual oxidase maturation factor 1 isoform X2
XP_001177756.1	metalloproteinase inhibitor 1
XP_001177757.1	uncharacterized protein LOC752890
XP_001177880.2	phosphatidylinositol N-acetylglucosaminyltransferase subunit H
XP_001177881.4	uncharacterized protein LOC753842
XP_001177888.4	sushi domain-containing protein 2
XP_001178007.1	microsomal glutathione S-transferase 1
XP_001178085.3	ubiquitin carboxyl-terminal hydrolase 36-like
XP_001178133.3	cytochrome P450 2J6
XP_001178205.4	uncharacterized protein LOC752302
XP_001178245.1	28S ribosomal protein S34, mitochondrial
XP_001178255.2	uncharacterized protein LOC754218
XP_001178256.1	hydroxyacyl-thioester dehydratase type 2, mitochondrial
XP_001178341.1	coiled-coil domain-containing protein 127
XP_001178344.1	uncharacterized protein LOC753740
XP_001178348.1	mapk-regulated corepressor-interacting protein 1
XP_001178402.3	uncharacterized protein LOC752329
XP_001178435.1	small nuclear ribonucleoprotein Sm D2
XP_001178441.3	histone H4
XP_001178443.1	transmembrane protein 170A
XP_001178487.3	calumenin
XP_001178521.2	solute carrier family 28 member 3 isoform X1
XP_001178525.2	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
XP_001178526.1	histone H2A, embryonic
XP_001178621.1	prefoldin subunit 5
XP_001178625.2	PSME3-interacting protein
XP_001178630.3	28S ribosomal protein S33, mitochondrial
XP_001178673.2	sodium/glucose cotransporter 4
XP_001178789.2	testis-expressed protein 43-like
XP_001178791.1	signal recognition particle 9 kDa protein
XP_001178896.2	ubiquitin carboxyl-terminal hydrolase 38
XP_001178934.1	histone H4
XP_001178960.2	oocyte zinc finger protein XlCOF19
XP_001178994.1	uncharacterized protein LOC754388
XP_001179011.2	gastrula-specific protein 17
XP_001179251.2	muscarinic acetylcholine receptor M1-like
XP_001179256.2	glutaredoxin-C3
XP_001179356.3	39S ribosomal protein L52, mitochondrial
XP_001179358.2	uncharacterized protein LOC752507 isoform X2
XP_001179360.2	eukaryotic translation initiation factor 5B isoform X1
XP_001179444.2	short coiled-coil protein B
XP_001179446.2	putative RNA polymerase II transcriptional coactivator isoform X1
XP_001179447.3	uncharacterized protein LOC752531 isoform X1
XP_001179559.2	transcription initiation factor TFIID subunit 10
XP_001179562.2	protein CNPPD1
XP_001179566.3	uncharacterized protein LOC752570
XP_001179708.3	beta-1,3-galactosyltransferase 1
XP_001179710.2	lysyl oxidase homolog 2
XP_001179750.2	M-phase phosphoprotein 6
XP_001179755.3	phospholipase A2
XP_001179833.3	OTU domain-containing protein 3
XP_001179840.1	uncharacterized protein LOC752677
XP_001180028.3	palmitoyltransferase AKR1 isoform X2
XP_001180074.2	glycine N-methyltransferase
XP_001180082.3	caveolin-1
XP_001180116.1	zinc finger protein 345
XP_001180150.3	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2
XP_001180189.1	endophilin-B1 isoform X4
XP_001180232.2	tyrosine-protein kinase HTK16
XP_001180237.3	zinc finger protein Xfin isoform X1
XP_001180287.1	histamine N-methyltransferase
XP_001180329.1	translation initiation factor IF-2, mitochondrial
XP_001180414.3	proteasome assembly chaperone 2
XP_001180456.3	uncharacterized protein LOC752883
XP_001180492.2	uncharacterized protein LOC752895
XP_001180614.3	uncharacterized protein LOC752929
XP_001180621.2	LON peptidase N-terminal domain and RING finger protein 3
XP_001180668.2	monocarboxylate transporter 13
XP_001180710.3	monocarboxylate transporter 13 isoform X1
XP_001180753.2	probable G-protein coupled receptor 21
XP_001180755.2	uncharacterized protein LOC752969
XP_001180800.3	uncharacterized protein LOC752978 isoform X1
XP_001180804.2	flocculation protein FLO11
XP_001180805.3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
XP_001180929.1	cell division control protein 45 homolog
XP_001180933.2	microsomal glutathione S-transferase 1
XP_001180985.2	beta-3 adrenergic receptor-like
XP_001181022.2	serine protease inhibitor dipetalogastin isoform X1
XP_001181077.2	peroxisomal trans-2-enoyl-CoA reductase-like
XP_001181125.3	uncharacterized protein LOC753076
XP_001181128.3	uncharacterized protein LOC753079 isoform X1
XP_001181213.2	putative fucosyltransferase-like protein
XP_001181290.1	snaclec alboaggregin-A subunit beta'-like
XP_001181408.1	protein phosphatase 1 regulatory subunit 32-like
XP_001181697.3	monocarboxylate transporter 7
XP_001181782.2	uncharacterized protein LOC753295
XP_001181885.1	glycerophosphodiester phosphodiesterase 1-like
XP_001181889.1	uncharacterized protein LOC753335
XP_001181890.3	SPRY domain-containing SOCS box protein 3
XP_001182051.3	proton-coupled folate transporter isoform X2
XP_001182055.3	hydroxylysine kinase isoform X3
XP_001182123.2	short-chain collagen C4
XP_001182174.2	dolichyldiphosphatase 1 isoform X1
XP_001182336.2	general receptor for phosphoinositides 1-associated scaffold protein isoform X2
XP_001182486.2	uncharacterized protein LOC753509 isoform X2
XP_001182487.3	PEST proteolytic signal-containing nuclear protein
XP_001182607.1	uncharacterized protein LOC753547
XP_001182643.1	transmembrane protein 121B-like
XP_001182828.3	uncharacterized protein LOC753608
XP_001182835.3	uncharacterized protein LOC753615
XP_001182914.3	galactoside 3(4)-L-fucosyltransferase
XP_001182923.1	protein kish-B
XP_001183007.2	uncharacterized protein LOC753664
XP_001183009.2	uncharacterized protein LOC753666
XP_001183018.2	V-type proton ATPase subunit e 2
XP_001183272.2	sugar transporter SWEET1
XP_001183408.2	exogastrula-inducing polypeptide
XP_001183453.2	uncharacterized protein LOC753812
